Sorter,Combos,reverse_primer_i7,forward_primer_i5,reverse_primer_i7_well,forward_primer_i5_well,Var7,S_Row_R,S_Col_R,S_Row_F,S_Col_F,LastUsedDateTime,LastUsedBarcodeStartIndex,LastUsedBarcodeEndIndex
3,BC_00085BC_00183,BC_00085,BC_00183,A15,E16,A15E16,1,15,5,16,NaT,0,0
3,BC_00086BC_00184,BC_00086,BC_00184,C15,G16,C15G16,3,15,7,16,NaT,0,0
3,BC_00087BC_00185,BC_00087,BC_00185,E15,I16,E15I16,5,15,9,16,NaT,0,0
3,BC_00088BC_00186,BC_00088,BC_00186,G15,K16,G15K16,7,15,11,16,NaT,0,0
3,BC_00089BC_00187,BC_00089,BC_00187,I15,M16,I15M16,9,15,13,16,NaT,0,0
3,BC_00090BC_00188,BC_00090,BC_00188,K15,O16,K15O16,11,15,15,16,NaT,0,0
3,BC_00091BC_00189,BC_00091,BC_00189,M15,A18,M15A18,13,15,1,18,NaT,0,0
3,BC_00092BC_00190,BC_00092,BC_00190,O15,C18,O15C18,15,15,3,18,NaT,0,0
3,BC_00093BC_00191,BC_00093,BC_00191,A17,E18,A17E18,1,17,5,18,NaT,0,0
3,BC_00094BC_00192,BC_00094,BC_00192,C17,G18,C17G18,3,17,7,18,NaT,0,0
3,BC_00095BC_00193,BC_00095,BC_00193,E17,I18,E17I18,5,17,9,18,NaT,0,0
3,BC_00096BC_00194,BC_00096,BC_00194,G17,K18,G17K18,7,17,11,18,NaT,0,0
3,BC_00097BC_00195,BC_00097,BC_00195,I17,M18,I17M18,9,17,13,18,NaT,0,0
3,BC_00098BC_00196,BC_00098,BC_00196,K17,O18,K17O18,11,17,15,18,NaT,0,0
3,BC_00099BC_00197,BC_00099,BC_00197,M17,A20,M17A20,13,17,1,20,NaT,0,0
3,BC_00100BC_00198,BC_00100,BC_00198,O17,C20,O17C20,15,17,3,20,NaT,0,0
3,BC_00101BC_00199,BC_00101,BC_00199,A19,E20,A19E20,1,19,5,20,NaT,0,0
3,BC_00102BC_00202,BC_00102,BC_00202,C19,K20,C19K20,3,19,11,20,NaT,0,0
